MPG	HP	Acc	Cyl	Dis	Weight
13.0	175.0	13.0	8.0	350.0	4100.0
24.0	90.0	14.5	4.0	107.0	2430.0
13.0	190.0	12.5	8.0	400.0	4422.0
19.8	85.0	18.2	6.0	200.0	2990.0
27.0	60.0	19.0	4.0	97.0	1834.0
15.5	145.0	13.7	8.0	318.0	4140.0
30.0	67.0	21.8	4.0	146.0	3250.0
28.0	92.0	17.0	4.0	97.0	2288.0
24.0	75.0	15.5	4.0	116.0	2158.0
26.0	69.0	18.0	4.0	96.0	2189.0
15.0	100.0	17.0	6.0	250.0	3336.0
25.5	96.0	15.5	4.0	122.0	2300.0
19.0	108.0	15.5	6.0	156.0	2930.0
13.0	150.0	12.0	8.0	400.0	4464.0
18.0	88.0	16.5	6.0	250.0	3021.0
21.5	115.0	15.4	6.0	231.0	3245.0
20.2	88.0	17.1	6.0	200.0	3060.0
15.5	170.0	11.4	8.0	350.0	4165.0
26.0	93.0	15.5	4.0	108.0	2391.0
22.0	76.0	18.0	4.0	121.0	2511.0
17.6	85.0	16.6	6.0	225.0	3465.0
33.0	74.0	14.2	4.0	105.0	2190.0
16.0	150.0	13.0	8.0	318.0	4190.0
13.0	175.0	12.0	8.0	400.0	5140.0
23.7	100.0	12.5	3.0	70.0	2420.0
40.8	65.0	19.2	4.0	85.0	2110.0
44.3	48.0	21.7	4.0	90.0	2085.0
36.0	88.0	14.5	4.0	120.0	2160.0
20.3	103.0	15.9	5.0	131.0	2830.0
13.0	145.0	13.0	8.0	350.0	3988.0
21.0	107.0	14.0	6.0	155.0	2472.0
39.4	70.0	18.6	4.0	85.0	2070.0
26.0	67.0	15.5	4.0	79.0	1963.0
18.0	112.0	14.5	4.0	121.0	2933.0
26.0	92.0	14.5	4.0	156.0	2585.0
16.0	170.0	11.5	8.0	400.0	4668.0
37.7	62.0	17.3	4.0	89.0	2050.0
33.5	70.0	16.8	4.0	85.0	1945.0
18.5	150.0	13.0	8.0	360.0	3940.0
22.4	110.0	15.8	6.0	231.0	3415.0
15.0	150.0	12.5	8.0	304.0	3892.0
38.0	67.0	15.0	4.0	91.0	1965.0
14.0	150.0	13.5	8.0	318.0	4457.0
21.5	110.0	12.8	4.0	121.0	2600.0
11.0	208.0	11.0	8.0	429.0	4633.0
14.0	150.0	15.5	8.0	304.0	4257.0
13.0	158.0	13.0	8.0	351.0	4363.0
31.0	65.0	19.0	4.0	71.0	1773.0
13.0	175.0	11.0	8.0	360.0	3821.0
14.0	153.0	13.0	8.0	351.0	4129.0
18.1	120.0	15.1	6.0	258.0	3410.0
18.0	100.0	15.5	6.0	232.0	3288.0
24.0	96.0	13.5	4.0	134.0	2702.0
27.2	84.0	15.7	4.0	135.0	2490.0
18.0	97.0	14.5	6.0	171.0	2984.0
22.0	97.0	14.5	6.0	146.0	2815.0
31.0	67.0	16.0	4.0	79.0	2000.0
20.8	85.0	16.7	6.0	200.0	3070.0
27.0	88.0	16.5	4.0	97.0	2100.0
30.0	68.0	16.5	4.0	98.0	2155.0
25.4	116.0	12.6	6.0	168.0	2900.0
34.0	70.0	16.9	4.0	108.0	2245.0
24.0	97.0	17.0	4.0	119.0	2545.0
16.5	138.0	13.2	8.0	351.0	3955.0
39.0	64.0	16.4	4.0	86.0	1875.0
23.9	97.0	14.9	4.0	119.0	2405.0
18.0	105.0	16.0	6.0	250.0	3459.0
9.0	193.0	18.5	8.0	304.0	4732.0
12.0	167.0	12.5	8.0	400.0	4906.0
22.0	100.0	15.4	6.0	225.0	3233.0
20.0	100.0	16.0	6.0	232.0	2914.0
21.0	86.0	16.5	4.0	122.0	2226.0
19.2	145.0	13.2	8.0	305.0	3425.0
20.2	90.0	18.2	6.0	232.0	3265.0
19.0	100.0	15.0	6.0	250.0	3282.0
34.0	88.0	18.0	4.0	112.0	2395.0
16.5	120.0	16.7	6.0	168.0	3820.0
11.0	210.0	13.5	8.0	318.0	4382.0
18.0	97.0	15.5	6.0	199.0	2774.0
30.0	84.0	12.9	4.0	135.0	2385.0
19.0	100.0	16.0	6.0	232.0	2901.0
29.8	90.0	15.5	4.0	134.0	2711.0
15.0	72.0	19.5	6.0	250.0	3158.0
23.0	125.0	17.4	8.0	350.0	3900.0
15.0	72.0	21.0	6.0	250.0	3432.0
20.5	105.0	16.9	6.0	231.0	3425.0
28.0	88.0	19.6	4.0	112.0	2605.0
20.0	90.0	19.5	4.0	140.0	2408.0
17.0	140.0	10.5	8.0	302.0	3449.0
18.0	130.0	12.0	8.0	307.0	3504.0
31.0	52.0	16.5	4.0	76.0	1649.0
30.0	80.0	14.8	4.0	111.0	2155.0
22.0	98.0	14.5	4.0	121.0	2945.0
25.0	81.0	16.9	4.0	116.0	2220.0
30.0	70.0	19.5	4.0	79.0	2074.0
32.0	96.0	13.9	4.0	144.0	2665.0
16.9	155.0	14.9	8.0	350.0	4360.0
20.0	102.0	15.7	4.0	130.0	3150.0
11.0	150.0	14.0	8.0	400.0	4997.0
15.0	145.0	14.0	8.0	350.0	4440.0
27.0	88.0	14.5	4.0	97.0	2130.0
21.6	115.0	15.7	4.0	121.0	2795.0
27.0	83.0	15.3	4.0	101.0	2202.0
14.0	175.0	12.0	8.0	400.0	4385.0
32.3	67.0	17.8	4.0	97.0	2065.0
32.1	70.0	15.5	4.0	98.0	2120.0
25.0	115.0	13.5	4.0	121.0	2671.0
16.0	150.0	12.0	8.0	304.0	3433.0
16.0	140.0	14.0	8.0	302.0	4141.0
25.5	89.0	15.8	4.0	140.0	2755.0
26.0	80.0	16.5	4.0	122.0	2451.0
32.4	75.0	16.8	4.0	108.0	2350.0
20.0	88.0	19.0	4.0	97.0	2279.0
18.0	100.0	16.0	6.0	232.0	2945.0
34.7	63.0	14.9	4.0	105.0	2215.0
22.0	105.0	14.5	6.0	250.0	3353.0
24.0	75.0	15.5	4.0	90.0	2108.0
15.0	150.0	12.5	8.0	318.0	3777.0
29.5	71.0	12.2	4.0	97.0	1825.0
27.0	90.0	17.3	4.0	151.0	2950.0
13.0	140.0	16.0	8.0	302.0	4294.0
30.0	67.0	16.4	4.0	97.0	1985.0
31.3	75.0	17.5	4.0	120.0	2542.0
23.9	90.0	22.2	8.0	260.0	3420.0
19.0	112.0	15.5	4.0	121.0	2868.0
18.0	150.0	11.0	8.0	318.0	3436.0
18.0	100.0	15.0	6.0	232.0	2789.0
19.2	125.0	15.0	8.0	267.0	3605.0
29.0	75.0	16.0	4.0	97.0	2171.0
15.0	165.0	11.5	8.0	350.0	3693.0
24.0	95.0	15.0	4.0	113.0	2372.0
14.5	152.0	12.8	8.0	351.0	4215.0
26.0	79.0	17.7	4.0	98.0	2255.0
18.5	110.0	16.2	6.0	250.0	3645.0
26.6	105.0	19.0	8.0	350.0	3725.0
23.0	97.0	14.5	4.0	120.0	2506.0
19.0	100.0	13.0	6.0	232.0	2634.0
20.5	95.0	18.2	6.0	200.0	3155.0
23.8	85.0	17.6	4.0	151.0	2855.0
15.0	190.0	8.5	8.0	390.0	3850.0
31.5	71.0	14.9	4.0	89.0	1990.0
14.0	150.0	14.0	8.0	318.0	4077.0
26.0	75.0	18.2	4.0	97.0	2265.0
26.4	88.0	18.1	4.0	140.0	2870.0
14.0	150.0	14.5	8.0	318.0	4237.0
13.0	150.0	14.5	8.0	350.0	4699.0
18.0	78.0	21.0	6.0	250.0	3574.0
36.0	84.0	13.0	4.0	135.0	2370.0
17.5	110.0	16.4	6.0	250.0	3520.0
27.5	95.0	14.2	4.0	134.0	2560.0
16.0	180.0	11.1	8.0	400.0	4220.0
33.5	83.0	15.9	4.0	98.0	2075.0
23.0	78.0	18.5	4.0	140.0	2592.0
21.0	90.0	15.0	6.0	199.0	2648.0
37.3	69.0	14.7	4.0	91.0	2130.0
24.0	95.0	15.5	4.0	113.0	2278.0
31.0	67.0	19.0	4.0	79.0	1950.0
30.5	78.0	14.1	4.0	97.0	2190.0
23.0	95.0	16.0	6.0	198.0	2904.0
31.6	74.0	18.3	4.0	120.0	2635.0
13.0	155.0	13.5	8.0	350.0	4502.0
15.0	150.0	9.5	8.0	400.0	3761.0
28.1	80.0	20.4	4.0	141.0	3230.0
22.0	94.0	16.5	4.0	108.0	2379.0
18.5	98.0	19.0	6.0	250.0	3525.0
16.0	230.0	9.5	8.0	400.0	4278.0
16.5	180.0	12.1	8.0	350.0	4380.0
24.3	90.0	20.1	4.0	151.0	3003.0
27.0	86.0	15.6	4.0	140.0	2790.0
15.0	110.0	19.0	6.0	258.0	3730.0
14.0	140.0	16.0	8.0	302.0	4638.0
37.0	92.0	15.0	4.0	119.0	2434.0
32.0	84.0	11.6	4.0	135.0	2295.0
32.0	70.0	17.0	4.0	85.0	1990.0
37.0	65.0	19.4	4.0	85.0	1975.0
34.5	70.0	14.9	4.0	105.0	2150.0
19.0	85.0	18.5	4.0	122.0	2310.0
13.0	215.0	11.0	8.0	440.0	4735.0
15.5	190.0	12.2	8.0	400.0	4325.0
19.9	110.0	15.5	8.0	260.0	3365.0
16.0	105.0	15.5	6.0	225.0	3439.0
34.1	65.0	15.2	4.0	86.0	1975.0
35.0	69.0	18.0	4.0	72.0	1613.0
26.5	72.0	13.6	4.0	140.0	2565.0
36.0	74.0	15.3	4.0	105.0	1980.0
23.0	95.0	15.0	4.0	115.0	2694.0
28.8	115.0	11.3	6.0	173.0	2595.0
12.0	225.0	11.0	8.0	455.0	4951.0
32.9	100.0	14.8	4.0	119.0	2615.0
35.7	80.0	14.4	4.0	98.0	1915.0
29.5	68.0	16.6	4.0	98.0	2135.0
13.0	170.0	13.0	8.0	360.0	4654.0
20.0	122.0	13.5	6.0	156.0	2807.0
26.8	115.0	12.9	6.0	173.0	2700.0
17.6	129.0	13.4	8.0	302.0	3725.0
13.0	145.0	12.0	8.0	350.0	4055.0
28.0	75.0	14.5	4.0	90.0	2125.0
17.0	110.0	19.0	8.0	260.0	4060.0
22.0	86.0	16.0	4.0	122.0	2395.0
25.0	75.0	17.0	4.0	140.0	2542.0
14.0	175.0	11.5	8.0	400.0	4464.0
18.1	139.0	11.2	8.0	302.0	3205.0
33.0	53.0	17.4	4.0	91.0	1795.0
18.0	88.0	14.5	6.0	250.0	3139.0
22.0	72.0	19.0	4.0	140.0	2408.0
17.0	110.0	21.0	6.0	231.0	3907.0
19.1	90.0	18.7	6.0	225.0	3381.0
33.8	67.0	18.0	4.0	97.0	2145.0
15.0	150.0	13.5	8.0	318.0	4135.0
29.0	49.0	19.5	4.0	68.0	1867.0
17.0	125.0	13.6	6.0	163.0	3140.0
29.0	84.0	16.0	4.0	135.0	2525.0
27.2	97.0	14.7	4.0	119.0	2300.0
16.0	100.0	17.0	6.0	250.0	3781.0
28.0	79.0	18.6	4.0	120.0	2625.0
43.4	48.0	23.7	4.0	90.0	2335.0
10.0	200.0	15.0	8.0	307.0	4376.0
21.0	110.0	15.0	6.0	231.0	3039.0
23.0	88.0	17.0	4.0	120.0	2957.0
10.0	215.0	14.0	8.0	360.0	4615.0
19.4	140.0	13.2	8.0	318.0	3735.0
32.0	67.0	15.7	4.0	91.0	1965.0
17.0	130.0	15.4	8.0	305.0	3840.0
32.0	65.0	21.0	4.0	71.0	1836.0
13.0	150.0	13.2	8.0	318.0	3940.0
26.0	78.0	14.5	4.0	97.0	2300.0
25.4	77.0	20.1	5.0	183.0	3530.0
27.0	88.0	18.6	4.0	112.0	2640.0
29.0	70.0	14.2	4.0	90.0	1937.0
32.2	75.0	15.2	4.0	108.0	2265.0
14.0	225.0	10.0	8.0	455.0	3086.0
13.0	130.0	15.0	8.0	302.0	3870.0
11.0	180.0	11.0	8.0	350.0	3664.0
38.0	85.0	17.0	6.0	262.0	3015.0
14.0	220.0	9.0	8.0	454.0	4354.0
25.0	71.0	16.5	4.0	90.0	2223.0
24.0	92.0	16.4	4.0	140.0	2865.0
31.8	65.0	19.2	4.0	85.0	2020.0
31.5	68.0	18.5	4.0	98.0	2045.0
46.6	65.0	17.9	4.0	86.0	2110.0
28.0	90.0	16.5	4.0	151.0	2678.0
24.2	120.0	13.8	6.0	146.0	2930.0
21.0	85.0	16.0	6.0	200.0	2587.0
26.0	90.0	15.5	4.0	98.0	2265.0
21.0	72.0	19.5	4.0	140.0	2401.0
17.5	140.0	13.0	8.0	305.0	4215.0
26.6	84.0	16.4	4.0	151.0	2635.0
36.0	58.0	18.6	4.0	79.0	1825.0
22.0	95.0	15.5	6.0	198.0	2833.0
17.7	165.0	13.4	6.0	231.0	3445.0
36.0	70.0	17.3	4.0	98.0	2125.0
20.6	110.0	16.6	6.0	225.0	3360.0
12.0	180.0	12.5	8.0	350.0	4499.0
17.5	95.0	17.8	6.0	258.0	3193.0
22.3	88.0	17.3	4.0	140.0	2890.0
13.0	130.0	14.0	8.0	307.0	4098.0
32.4	72.0	17.0	4.0	107.0	2290.0
25.0	80.0	17.0	4.0	97.5	2126.0
18.0	110.0	13.5	6.0	258.0	2962.0
25.0	95.0	14.0	4.0	113.0	2228.0
36.1	66.0	14.4	4.0	98.0	1800.0
32.7	132.0	11.4	6.0	168.0	2910.0
13.0	165.0	12.0	8.0	350.0	4274.0
28.0	75.0	16.4	4.0	97.0	2155.0
17.0	100.0	15.5	6.0	250.0	3329.0
30.7	76.0	19.6	6.0	145.0	3160.0
27.0	90.0	18.0	4.0	151.0	2735.0
28.0	80.0	15.0	4.0	98.0	2164.0
29.8	62.0	15.3	4.0	89.0	1845.0
27.2	71.0	24.8	4.0	141.0	3190.0
28.0	90.0	15.5	4.0	140.0	2264.0
20.2	85.0	15.8	6.0	200.0	2965.0
16.0	150.0	14.5	8.0	318.0	4498.0
14.0	160.0	8.0	8.0	340.0	3609.0
22.0	112.0	14.7	6.0	232.0	2835.0
29.0	78.0	14.5	4.0	97.0	1940.0
33.0	53.0	17.5	4.0	91.0	1795.0
16.0	100.0	18.0	6.0	250.0	3278.0
36.1	60.0	16.4	4.0	91.0	1800.0
23.0	54.0	23.5	4.0	97.0	2254.0
38.1	60.0	18.8	4.0	89.0	1968.0
27.0	88.0	14.5	4.0	97.0	2130.0
24.0	81.0	17.6	6.0	200.0	3012.0
30.9	75.0	14.5	4.0	105.0	2230.0
19.0	100.0	17.7	6.0	225.0	3630.0
32.0	61.0	19.0	4.0	83.0	2003.0
35.1	60.0	16.1	4.0	81.0	1760.0
24.0	110.0	14.0	4.0	121.0	2660.0
33.7	75.0	14.4	4.0	107.0	2210.0
28.4	90.0	16.0	4.0	151.0	2670.0
14.0	225.0	10.0	8.0	455.0	4425.0
21.5	110.0	13.5	3.0	80.0	2720.0
26.0	46.0	21.0	4.0	97.0	1950.0
25.1	88.0	15.4	4.0	140.0	2720.0
28.0	86.0	15.5	4.0	107.0	2464.0
34.4	65.0	16.2	4.0	98.0	2045.0
38.0	63.0	14.7	4.0	105.0	2125.0
13.0	129.0	12.0	8.0	302.0	3169.0
25.0	95.0	17.5	4.0	104.0	2375.0
30.0	76.0	14.5	4.0	88.0	2065.0
